session_id,user_id,charger_id,session_duration,power_usage,time_of_day,location,policy_type,role,behavior_context,risk_score,access_granted_ai,access_granted_noai,decision_latency_ai,decision_latency_noai,blockchain_delay,pet_time,ai_override,session_validity
98,15,10,104,16.86,off_hours,London,ABAC,User,normal,0.3276625161981604,True,True,216.18980435940617,107.6993465140385,272.6977801007546,70.90416827052198,False,valid
99,11,2,18,16.33,morning,Manchester,DAC,User,normal,0.1825068981534698,True,True,176.3974856724636,128.51951496598497,245.63175545374236,88.61005928733336,False,valid
100,3,1,99,19.29,afternoon,London,ABAC,Fleet,normal,0.36270781289470266,True,True,203.94111003347646,87.24222930107723,170.6197147092624,67.08707476042663,False,valid
101,10,2,52,5.14,morning,Birmingham,RBAC,User,normal,0.18994830003795143,True,True,196.1280293025351,123.5623168611445,269.213278775053,72.25269100193461,False,valid
102,17,10,19,9.54,off_hours,Manchester,MAC,User,normal,0.3668338399536869,True,True,213.78640418827268,106.98279974921387,260.4937136239723,67.92327616277038,False,valid
103,8,6,76,20.91,afternoon,Manchester,RBAC,Admin,normal,0.11943283362150481,True,True,204.79786734053042,153.2977981019898,184.6836978486503,81.1253963049821,False,valid
104,5,2,82,9.45,evening,London,DAC,Admin,normal,0.3952601714097924,True,True,154.7788350775538,118.34364625463517,245.3626767841117,85.52820330749549,False,valid
105,8,1,91,3.8,morning,London,RBAC,Admin,normal,0.2890144103764325,True,True,204.3354544720069,102.3011016186421,252.15868661515603,71.64142948684655,False,valid
106,15,5,66,12.13,afternoon,Manchester,RBAC,User,normal,0.2505178091986699,True,True,169.05195771537825,71.93089109933102,161.08633319593127,78.90538339449861,False,valid
107,11,2,44,3.48,off_hours,London,MAC,Fleet,normal,0.487785302085653,True,True,182.48398990664043,111.97228753392261,150.27742264001952,91.83654201501207,False,valid
108,9,4,89,5.42,morning,Birmingham,RBAC,User,normal,0.14384727432520295,True,True,167.06975915908382,104.30850796150973,213.66987611194781,87.10128130199334,False,valid
109,2,8,84,21.97,evening,Manchester,RBAC,Admin,normal,0.4013626142285161,True,False,218.90315763494118,88.47165775017821,173.5353773815471,103.49802186649029,True,valid
110,7,10,113,12.46,morning,London,RBAC,Fleet,normal,0.251750041038906,True,True,180.2637886832676,95.09420356569771,121.8492673791391,98.02793982638907,False,valid
111,16,6,86,7.11,afternoon,London,RBAC,User,normal,0.15959812845063961,True,True,196.17813948399404,152.04384277674615,165.48420841682068,72.59957826822058,False,valid
112,7,8,115,21.89,afternoon,Manchester,DAC,User,normal,0.2197042154420715,True,True,162.1515506099346,119.49175311755138,174.28685499951777,62.60147790702645,False,valid
113,4,5,57,21.3,afternoon,London,RBAC,User,normal,0.25125084164861855,True,True,174.5523980869871,152.42979778387,179.66299963491343,99.9799272605537,False,valid
114,5,2,28,10.37,evening,Manchester,RBAC,Admin,normal,0.21865471264433928,True,True,143.19848196531873,120.13100532260515,202.97484607076396,109.26371615728456,False,valid
115,14,1,30,6.62,evening,Manchester,ABAC,User,normal,0.3720872141124701,True,True,177.4288763762544,112.96387101997827,274.8048504578838,88.79955553939485,False,valid
116,7,8,93,18.64,afternoon,London,RBAC,User,normal,0.3449446519743734,True,True,187.7628255398549,131.04560172353254,222.81100435024518,82.03734574403794,False,valid
117,13,1,64,16.08,afternoon,Birmingham,ABAC,Admin,normal,0.0432935068678052,True,True,176.75121988973302,99.97319151604266,258.8129902013718,65.87953974096469,False,valid
118,18,10,113,15.49,morning,Manchester,RBAC,User,normal,0.22762314669314412,True,True,156.51321966866476,119.25938066699979,230.579241812751,71.01378411115847,False,valid
119,10,9,45,19.78,evening,anomaly,RBAC,Admin,anomalous,0.6608105824114839,False,False,153.40955170648576,113.10130784768353,206.1830694731849,105.87413286048867,False,valid
120,2,4,33,15.54,evening,Manchester,RBAC,User,normal,0.05525679373066256,True,True,223.39493667114544,164.01787625246752,225.5019443889451,88.10669911793588,False,valid
121,13,6,19,7.1,morning,Manchester,RBAC,User,normal,0.30713038848438967,True,True,176.75977961340442,103.6098830926986,207.4522358148227,64.8946966308246,False,valid
122,2,6,49,15.63,morning,London,MAC,Fleet,normal,0.24202671108696883,True,True,154.18186427532075,119.7723360220271,217.58069747706654,55.333944367896166,False,valid
123,15,3,69,7.56,morning,London,RBAC,User,normal,0.18285757917285206,True,True,165.5170393768427,107.38721873532009,214.61698120945277,76.61480978080267,False,valid
124,5,1,93,16.99,off_hours,London,MAC,User,normal,0.30408527078167974,True,True,169.50741415744537,122.90369993283194,187.42802271638288,98.74274840034522,False,valid
125,11,6,75,14.09,evening,Manchester,MAC,Fleet,anomalous,0.8606752432268345,False,False,183.63386506061184,76.45461605074749,149.79150853201406,96.16341193932851,False,valid
126,6,10,13,2.81,afternoon,London,RBAC,User,normal,0.18239789126988037,True,True,210.5771358993046,128.9639472626408,145.16252637125396,88.57046509863832,False,valid
127,19,5,92,11.87,afternoon,Manchester,DAC,User,normal,0.058158887930108816,True,False,194.30463159111903,179.97294192288524,171.11691271513484,53.46096612564105,True,valid
128,15,4,5,8.34,afternoon,London,RBAC,User,normal,0.3736157468687194,True,True,160.63526521624954,145.31961170326127,172.10780396844058,57.36825316321653,False,valid
129,4,9,112,8.03,afternoon,Manchester,MAC,Fleet,normal,0.2516322281217297,True,True,230.98680887470948,128.70604935168524,178.83325060232528,86.59728316066636,False,valid
130,7,4,12,13.73,evening,Manchester,RBAC,User,normal,0.16091121866532831,True,True,208.7234342186633,112.2948865944361,267.56146310206145,64.12086848548289,False,valid
131,17,1,92,7.9,afternoon,Manchester,RBAC,User,normal,0.26021495120783705,True,True,242.67062438236127,132.1388845278315,241.3589971921707,59.4543973132765,False,valid
132,10,10,67,17.36,off_hours,Birmingham,DAC,Admin,normal,0.4297059264689048,True,True,165.77051744726157,146.61708178769683,278.0318323477374,55.23633525919193,False,valid
133,17,6,15,2.67,afternoon,Birmingham,DAC,User,normal,0.2893492699337032,True,True,124.14324927839415,138.57946639054924,204.2258247993254,109.96259084911281,False,valid
134,11,7,119,14.94,morning,London,ABAC,User,normal,0.22698132581586863,False,True,203.09898583725248,115.295123810004,157.8701492249806,83.26915923825597,True,valid
135,16,1,85,18.03,evening,Manchester,RBAC,User,normal,0.2377988131786029,True,True,201.59853908333565,85.81204581247366,201.27860918695424,102.57146184233478,False,valid
136,7,9,12,15.19,afternoon,Manchester,DAC,Fleet,normal,0.24836637005899984,True,False,205.87399415567978,84.87311466448543,183.6605291614848,64.58130644161926,True,valid
137,8,10,39,11.54,off_hours,Birmingham,ABAC,User,anomalous,0.9093972711496062,False,False,145.42558714863011,104.22649249809344,246.80939169683145,47.6652321824776,False,valid
138,16,2,39,20.97,afternoon,Birmingham,RBAC,User,normal,0.2616224276894896,True,True,142.8272660337036,97.5293411191183,259.07150324289495,92.0883999900197,False,valid
139,16,7,37,7.44,afternoon,London,RBAC,Admin,anomalous,0.8023195443861262,False,False,189.74376433109236,130.67956967040163,148.6020017545473,100.39523245381147,False,valid
140,4,8,9,1.6,evening,Birmingham,MAC,User,normal,0.3364315201676936,True,True,159.6584245115041,114.11104750961145,239.0378826871202,85.76144592055635,False,valid
141,7,8,110,10.19,afternoon,London,MAC,User,normal,0.32988925019810217,True,True,217.32333818238067,177.68291416026307,242.11442879867573,91.39385502125809,False,valid
142,17,1,107,1.89,afternoon,Birmingham,DAC,User,normal,0.18151099729634163,True,True,220.291736433261,106.3216127980277,256.68115379899257,72.49503167790003,False,valid
143,3,10,45,21.04,off_hours,London,RBAC,Admin,normal,0.3058099109007547,True,True,147.35989185443736,111.39566089897289,237.24552705901738,54.635631571195184,False,valid
144,17,1,32,5.57,afternoon,London,ABAC,User,normal,0.14129317477169995,False,True,200.46810699983007,135.47163927504997,121.3729762419945,73.5491320831575,True,valid
145,11,10,11,17.61,afternoon,Birmingham,RBAC,User,normal,0.11532628822395269,True,True,160.02248929318293,150.396014488464,225.3605677279372,88.95956040366877,False,valid
146,8,4,77,17.31,off_hours,Manchester,MAC,User,normal,0.42186226921847875,True,True,189.69075637241926,127.67732870766162,220.2391152834288,87.34963362929984,False,valid
147,19,2,76,5.73,morning,anomaly,ABAC,User,normal,0.10096085596190323,True,True,187.1433898055781,132.5995516107267,195.38476665843933,85.9522440848867,False,valid
148,7,10,16,14.12,morning,London,RBAC,Fleet,normal,0.204195574933624,True,True,202.82967366417182,129.72962296464286,239.62764011233867,72.85953283460832,False,valid
149,18,4,38,2.2,afternoon,Manchester,ABAC,User,normal,0.1997492136812705,True,True,187.397000789717,126.51177682346784,179.60399994600374,85.60177545587635,False,valid
150,15,6,37,11.26,morning,Birmingham,RBAC,User,normal,0.3442417533860268,True,True,189.20702997510526,135.42261568461964,162.40587842765572,90.613425757697,False,valid
151,19,3,52,1.5,off_hours,London,RBAC,User,normal,0.43555338376026914,True,True,157.36428442543044,92.74731283379722,211.98312876703778,80.01272333533663,False,valid
152,3,10,27,20.36,afternoon,London,RBAC,User,normal,0.20965563053745276,True,True,202.69166209692705,124.08001094059084,165.02012226578384,100.03787269725484,False,valid
153,16,3,66,21.5,afternoon,London,MAC,User,normal,0.28038133496981427,True,True,191.52217353620753,135.42195046609086,200.64123660860483,93.21342149419525,False,valid
154,15,1,92,5.82,morning,anomaly,RBAC,User,normal,0.18360658506647262,True,True,174.03690709664414,85.10348730107052,239.25825736993835,65.49035711655729,False,valid
155,5,5,41,5.53,afternoon,Birmingham,RBAC,Fleet,normal,0.43016509317531326,True,True,176.0743007893607,101.83486535037288,194.33208407868014,62.375952285406896,False,valid
156,14,7,103,16.88,evening,London,RBAC,User,normal,0.17042666907746923,True,True,193.37719963635146,131.6613228638231,150.3096414661929,83.17566778244723,False,valid
157,2,6,48,6.47,afternoon,London,ABAC,Admin,normal,0.17508364750145117,True,True,145.52025621835537,83.37766828810945,209.51957076601133,69.81546206744099,False,valid
158,4,4,108,19.82,evening,London,RBAC,User,normal,0.3432828068852518,True,True,176.83786243194118,97.67618105722195,194.14836535855622,79.17882476500888,False,valid
159,20,6,90,13.14,afternoon,Manchester,MAC,User,normal,0.24731648710355086,True,True,189.95760854076678,135.74932673779077,197.6105995374598,58.429818086878996,False,valid
160,13,3,95,8.5,evening,anomaly,DAC,User,normal,0.4166847794373411,True,True,209.43149217720475,143.64450594678445,220.388368938123,53.884695193863195,False,valid
161,16,3,39,18.52,afternoon,Manchester,RBAC,User,normal,0.13677083683950852,True,True,129.69508213805932,150.08444962991288,265.2881445574545,91.79334185331729,False,valid
162,12,7,69,11.46,afternoon,London,MAC,Fleet,normal,0.3845209510030549,True,True,150.95331040853685,127.01713110968618,198.26349255974588,71.8587529533932,False,valid
163,5,9,103,20.16,evening,Manchester,RBAC,Admin,normal,0.371188699904808,True,True,179.92763566405088,136.35067243406613,159.18237523032317,81.969054506945,False,valid
164,12,1,105,20.5,morning,anomaly,RBAC,Fleet,normal,0.22347866071746653,True,True,198.52185958115868,120.87247256773546,200.57369480420357,90.68726973722096,False,valid
165,8,4,51,4.64,afternoon,Manchester,RBAC,User,normal,0.07120465236020354,True,True,176.46850030633152,109.42865991336724,161.70058340860024,88.3103845504234,False,valid
166,5,10,82,1.25,morning,anomaly,ABAC,User,normal,0.18830357814926674,True,True,198.12097405914068,166.46602756976654,199.80107908456384,75.05572278304808,False,valid
167,3,5,7,21.67,afternoon,London,DAC,User,anomalous,0.6617172111759533,False,False,167.08781018756977,140.617047683905,257.27505349655485,60.87360644008501,False,valid
168,13,2,5,20.05,evening,Birmingham,MAC,Admin,normal,0.22853570884674823,True,True,208.50161397571767,84.80161087883313,192.18664855412706,70.84375251051486,False,valid
169,4,10,9,2.35,morning,Manchester,DAC,User,normal,0.2592531361734109,True,True,165.5136683329269,133.74604549883864,145.1315900082858,53.27120319792674,False,valid
170,8,3,94,18.53,off_hours,Manchester,DAC,Admin,normal,0.47197373689157185,True,True,208.13896218548862,129.48307118934886,282.5211761701715,81.80498336185781,False,valid
